t  ,Scenario2.GAS_PRICE ,Scenario2.POWER_PRICE ,Scenario2.HEAT_PRICE ,Scenario2.heat_demand ,Scenario2.heat_demand_scenario ,Scenario2.delta_heat_demand_scenario ,Scenario2.probability ,Scenario2.delta_x   ,Scenario2.chp1.bin ,Scenario2.chp1.power ,Scenario2.chp1.gas ,Scenario2.chp1.heat ,Scenario2.chp1.eta_th ,Scenario2.chp1.eta_el ,Scenario2.chp1.y1 ,Scenario2.chp1.y2 ,Scenario2.boiler1.bin ,Scenario2.boiler1.heat ,Scenario2.boiler1.gas ,Scenario2.boiler1.eta_th ,Scenario2.boiler1.y1 ,Scenario2.boiler1.y2 ,Scenario2.heat_storage1.heat_charge ,Scenario2.heat_storage1.bin_charge ,Scenario2.heat_storage1.heat_discharge ,Scenario2.heat_storage1.bin_discharge ,Scenario2.heat_storage1.heat_balance ,Scenario2.heat_storage1.heat_capacity ,Scenario2.ngas_grid.gas_balance ,Scenario2.power_grid.power_balance ,Scenario2.power_grid.power_supply ,Scenario2.power_grid.power_feedin ,Scenario2.heat_grid.heat_balance ,Scenario2.heat_grid.heat_supply ,Scenario2.heat_grid.heat_feedin ,Scenario2.arc03_expanded.heat ,Scenario2.arc04_expanded.heat ,Scenario2.arc05_expanded.gas ,Scenario2.arc06_expanded.gas
11 ,             0.1543 ,                0.251 ,               0.105 ,   128.1881334012233  ,             56.44011114308256 ,71.74802225814074                    ,0.0004895716600698391 ,71.74802225814074   ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    128.1881334012233  ,   119.04887238728989 ,      1.079770289764761  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             119.04887238728989 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             128.1881334012233  ,             128.1881334012233  ,           0.0                ,           128.1881334012233  ,          119.04887238728989 ,            0.0
12 ,             0.1543 ,                0.251 ,               0.105 ,   123.8851574175104  ,            135.47790427964097 ,-11.592746862130568                  ,0.0004895716600698391 ,-11.592746862130568 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    123.8851574175104  ,   114.9709225453048  ,      1.080594057689571  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             114.9709225453048  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             123.8851574175104  ,             123.8851574175104  ,           0.0                ,           123.8851574175104  ,          114.9709225453048  ,            0.0
13 ,             0.1543 ,                0.251 ,               0.105 ,   120.24610785605115 ,            130.79938130020423 ,-10.553273444153078                  ,0.0004895716600698391 ,-10.553273444153078 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    120.24610785605115 ,   111.52217878277891 ,      1.0812907225830934 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             111.52217878277891 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             120.24610785605115 ,             120.24610785605115 ,           0.0                ,           120.24610785605115 ,          111.52217878277891 ,            0.0
14 ,             0.1543 ,                0.251 ,               0.105 ,   129.2256067900492  ,            141.37889995998694 ,-12.15329316993774                   ,0.0004895716600698391 ,-12.15329316993774  ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    129.2256067900492  ,   120.03209061998282 ,      1.079571674363747  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             120.03209061998282 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             129.2256067900492  ,             129.2256067900492  ,           0.0                ,           129.2256067900492  ,          120.03209061998282 ,            0.0
15 ,             0.1543 ,                0.251 ,               0.105 ,   144.84779804164918 ,            130.6125590589945  ,14.235238982654693                   ,0.0004895716600698391 ,14.235238982654693  ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    144.84779804164918 ,   134.8373120730091  ,      1.076580939552067  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             134.8373120730091  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             144.84779804164918 ,             144.84779804164918 ,           0.0                ,           144.84779804164918 ,          134.8373120730091  ,            0.0
16 ,             0.1543 ,                0.251 ,               0.105 ,   166.56653578784764 ,            154.26296054959386 ,12.303575238253785                   ,0.0004895716600698391 ,12.303575238253785  ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    166.56653578784764 ,   155.4202582701206  ,      1.072423073091646  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             155.4202582701206  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             166.56653578784764 ,             166.56653578784764 ,           0.0                ,           166.56653578784764 ,          155.4202582701206  ,            0.0
17 ,             0.1543 ,                0.251 ,               0.105 ,   169.65940464198837 ,            190.47503943661508 ,-20.815634794626703                  ,0.0004895716600698391 ,-20.815634794626703 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    169.65940464198837 ,   158.35138410088592 ,      1.07183096982002   ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   33.67804849740604  ,             158.35138410088592 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             169.65940464198837 ,             169.65940464198837 ,           0.0                ,           169.65940464198837 ,          158.35138410088592 ,            0.0
18 ,             0.1543 ,                0.251 ,               0.105 ,   180.98217387350823 ,            232.29408557071503 ,-51.311911697206796                  ,0.0004895716600698391 ,-51.311911697206796 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    6.982173873508231  ,                                  1.0 ,6.982173873508231                    ,                   26.695874623897808 ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             180.98217387350823 ,             180.98217387350823 ,           6.982173873508231  ,           174.0              ,          162.46498599439482 ,            0.0
19 ,             0.1543 ,                0.251 ,               0.105 ,   159.72915392902087 ,            139.32999195526955 ,20.39916197375132                    ,0.0004895716600698391 ,20.39916197375132   ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    159.72915392902087 ,   148.9404404936952  ,      1.0737320313303853 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   26.695874623897808 ,             148.9404404936952  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             159.72915392902087 ,             159.72915392902087 ,           0.0                ,           159.72915392902087 ,          148.9404404936952  ,            0.0
20 ,             0.1543 ,                0.251 ,               0.105 ,   141.17185343819725 ,            155.89442365808762 ,-14.722570219890372                  ,0.0004895716600698391 ,-14.722570219890372 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    141.17185343819725 ,   131.35360271196865 ,      1.0772846676856105 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   26.695874623897808 ,             131.35360271196865 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             141.17185343819725 ,             141.17185343819725 ,           0.0                ,           141.17185343819725 ,          131.35360271196865 ,            0.0
21 ,             0.1543 ,                0.251 ,               0.105 ,   103.37569949235706 ,             64.89301075562557 ,38.48268873673149                    ,0.0004895716600698391 ,38.48268873673149   ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    103.37569949235706 ,    95.53401631537238 ,      1.0845204178779448 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   26.695874623897808 ,              95.53401631537238 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             103.37569949235706 ,             103.37569949235706 ,           0.0                ,           103.37569949235706 ,           95.53401631537238 ,            0.0
22 ,             0.1543 ,                0.251 ,               0.105 ,   108.05637359730451 ,            105.79251653986543 ,2.2638570574390826                   ,0.0004895716600698391 ,2.2638570574390826  ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    108.05637359730451 ,    99.96991237867881 ,      1.083624342880376  ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   26.695874623897808 ,              99.96991237867881 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             108.05637359730451 ,             108.05637359730451 ,           0.0                ,           108.05637359730451 ,           99.96991237867881 ,            0.0
23 ,             0.1543 ,                0.251 ,               0.105 ,   106.48752403357732 ,            125.72721612021473 ,-19.23969208663742                   ,0.0004895716600698391 ,-19.23969208663742  ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    106.48752403357732 ,    98.48310653669516 ,      1.0839246857022609 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                    0.0                ,                                  1.0 ,0.0                                  ,                   26.695874623897808 ,              98.48310653669516 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             106.48752403357732 ,             106.48752403357732 ,           0.0                ,           106.48752403357732 ,           98.48310653669516 ,            0.0
24 ,             0.1543 ,                0.251 ,               0.105 ,   111.895874623898   ,             73.04324947358121 ,38.85262515031678                    ,0.0004895716600698391 ,38.85262515031678   ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,     85.2              ,    78.308823529409   ,      1.0879999999879681 ,                 1.0 ,                 0.0 ,                                0.0 ,                               1.0 ,                   26.695874623897808  ,                                  1.0 ,26.695874623897808                   ,                    0.0               ,              78.308823529409   ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             111.895874623898   ,             111.895874623898   ,          26.695874623897808  ,            85.2              ,           78.308823529409   ,            0.0
